"","name","OR","lower","upper","p_value"
"(Intercept)","(Intercept)",6.41355343762337,5.54682931670222,7.41570820890266,1.63663496753918e-37
"age","age",0.942919238759665,0.941612732611243,0.944227557711012,0
"townsend","townsend",1.0353534905904,1.03172609550222,1.03899363905874,4.19816269350188e-23
"n_cancers","n_cancers",0.86282708646431,0.834575256852619,0.892035289836012,9.34470255647898e-06
"whr","whr",2.18195838877574,1.9504237979407,2.4409784249841,3.51720472155545e-12
"edu_levelCollege or University degree","edu_levelCollege or University degree",0.869185483438019,0.811362595105781,0.931129200651513,0.041695767104199
"edu_levelCSEs or equivalent","edu_levelCSEs or equivalent",1.4242425104354,1.32820308656302,1.52722633236787,4.07278732683458e-07
"edu_levelNone of the above","edu_levelNone of the above",1.47434288382785,1.38064684297321,1.57439750082129,3.3707758263214e-09
"edu_levelNVQ or HND or HNC or equivalent","edu_levelNVQ or HND or HNC or equivalent",1.30557768020315,1.22261775906083,1.394166792043,4.8749923578139e-05
"edu_levelO levels/GCSEs or equivalent","edu_levelO levels/GCSEs or equivalent",1.07955253433695,1.01095732176048,1.15280205139012,0.243614407251668
"edu_levelOther professional qualifications eg: nursing, teaching","edu_levelOther professional qualifications eg: nursing, teaching",1.04202820070661,0.977437845937252,1.11088676950777,0.519983737130733
"peopleInHousehold","peopleInHousehold",1.09202160543801,1.08341158646004,1.10070004940583,9.91683456018496e-29
"ethnicity_simwhite","ethnicity_simwhite",0.883535640020879,0.857184052790847,0.910697328823942,4.32439695052083e-05
"house_typeA house or bungalow","house_typeA house or bungalow",1.17548859320168,1.13207917724161,1.22056253707806,1.73197267721559e-05
"house_typeCare home","house_typeCare home",4.95346082784609e-05,1.42209838797472e-90,1.72539216558354e+81,0.959861621030124
"house_typeMobile or temporary structure (i.e. caravan)","house_typeMobile or temporary structure (i.e. caravan)",0.509187986018556,0.365869286362124,0.708647636656265,0.0411596375464668
"house_typeNone of the above","house_typeNone of the above",0.789352453158594,0.650128623603882,0.958390805581766,0.222835795467601
"house_typeSheltered accommodation","house_typeSheltered accommodation",4.6757987789496e-05,4.20909240745515e-27,519425379744634816,0.844283779186008
"Dem_diagTrue","Dem_diagTrue",2.2028735974709,1.97655893864067,2.45510113134885,3.21003463442265e-13
"copdFalse","copdFalse",0.796621554367945,0.776568047581869,0.817192907768587,4.73596463069798e-19
"copdTrue","copdTrue",0.785378471009973,0.664801015073487,0.927825512808189,0.147215001731023
"paracetamolTRUE","paracetamolTRUE",0.933671635016825,0.91142893194664,0.956457153684066,0.00442143458981068
